experiment_id,blurb_source,blurbs_dir,routing,retrieval,mask_style,phrase_hints,masking,prompt,model,cascade_hard_model,broker_margin_delta,n_processed,exec_success_rate_runtime,spider_exec_accuracy_overall,easy_acc,medium_acc,hard_acc,extra_acc,total_cost_usd,wall_time_seconds,spider_parse_failure_rate,ref_shannon_bits,ref_min_entropy_bits,ref_ilr_vs_hard_bits,pq_n_rows,pq_avg_retries,pq_frac_any_retry,pq_frac_repick,pq_broker_top1_acc,pq_db_routing_accuracy,pq_frac_routing_tiebreak,pq_avg_embedding_margin,pq_avg_masked_token_count,pq_runtime_exec_acc
final_mr0_oracle_nomask_blurbO,original,federated\blurbs,oracle,hybrid,none,False,False,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.996875,0.556,0.863,0.55,0.562,0.25,0.39995475000000014,416,0.303125,,,,320,0.0,0.0,,,1.0,0.0,,17.325,0.996875
final_mr0_oracle_nomask_blurbS,schema,federated\blurbs,oracle,hybrid,none,False,False,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.996875,0.569,0.863,0.562,0.575,0.275,0.40072575000000027,398,0.29375,,,,320,0.0,0.0,,,1.0,0.0,,17.421875,0.996875
final_mr0_oracle_semantic_blurbO,original,federated\blurbs,oracle,hybrid,semantic,False,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.996875,0.228,0.375,0.188,0.212,0.138,0.5481039999999999,496,0.25,2.21,2.21,0.87,320,0.0,0.0,,,1.0,0.0,,17.425,0.996875
final_mr0_oracle_semantic_blurbS,schema,federated\blurbs,oracle,hybrid,semantic,False,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.996875,0.225,0.375,0.2,0.2,0.125,0.547348,472,0.275,2.21,2.21,0.87,320,0.0,0.0,,,1.0,0.0,,17.478125,0.996875
final_mr0_oracle_hard_blurbO,original,federated\blurbs,oracle,hybrid,hard,False,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.990625,0.163,0.287,0.113,0.163,0.087,0.44202175,467,0.253125,3.08,3.08,0.0,320,0.0,0.0,,,1.0,0.0,,16.921875,0.990625
final_mr0_oracle_hard_blurbS,schema,federated\blurbs,oracle,hybrid,hard,False,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.990625,0.166,0.287,0.113,0.188,0.075,0.4419997500000003,403,0.246875,3.08,3.08,0.0,320,0.0,0.0,,,1.0,0.0,,16.8875,0.990625
final_mr0_oracle_semantic_hints_blurbO,original,federated\blurbs,oracle,hybrid,semantic,True,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.96875,0.487,0.65,0.575,0.475,0.25,0.6587300000000003,589,0.196875,2.21,2.21,0.87,320,0.0,0.0,,,1.0,0.0,,17.271875,0.96875
final_mr0_oracle_semantic_hints_blurbS,schema,federated\blurbs,oracle,hybrid,semantic,True,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.96875,0.491,0.637,0.575,0.487,0.263,0.6587505000000002,554,0.20625,2.21,2.21,0.87,320,0.0,0.0,,,1.0,0.0,,17.271875,0.96875
final_mr0_broker_nomask_blurbO,original,federated\blurbs,broker,hybrid,none,False,False,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.975,0.494,0.75,0.512,0.475,0.237,0.4051665,488,0.375,,,,320,0.0,0.0,,0.725,0.85625,0.56875,0.07841828125,18.11875,0.975
final_mr0_broker_nomask_blurbS,schema,federated\blurbs_schema_eval11,broker,hybrid,none,False,False,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.98125,0.522,0.825,0.512,0.525,0.225,0.398068,450,0.3625,,,,320,0.0,0.0,,0.68125,0.88125,0.496875,0.07514984687500001,17.475,0.98125
final_mr0_broker_semantic_blurbO,original,federated\blurbs,broker,hybrid,semantic,False,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.996875,0.234,0.338,0.188,0.25,0.163,0.5523712499999995,534,0.353125,2.21,2.21,0.87,320,0.0,0.0,,0.725,0.85625,0.56875,0.078422340625,17.70625,0.996875
final_mr0_broker_semantic_blurbS,schema,federated\blurbs_schema_eval11,broker,hybrid,semantic,False,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.996875,0.209,0.325,0.175,0.225,0.113,0.5459972499999997,544,0.334375,2.21,2.21,0.87,320,0.0,0.0,,0.68125,0.88125,0.496875,0.07515814374999999,17.665625,0.996875
final_mr0_broker_hard_blurbO,original,federated\blurbs,broker,hybrid,hard,False,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.990625,0.166,0.3,0.1,0.175,0.087,0.4456250000000002,495,0.346875,3.08,3.08,0.0,320,0.0,0.0,,0.725,0.85625,0.56875,0.078435015625,17.25,0.990625
final_mr0_broker_hard_blurbS,schema,federated\blurbs_schema_eval11,broker,hybrid,hard,False,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.990625,0.156,0.263,0.113,0.175,0.075,0.43864699999999995,518,0.31875,3.08,3.08,0.0,320,0.0,0.0,,0.68125,0.88125,0.496875,0.075149659375,16.903125,0.990625
final_mr0_broker_semantic_hints_blurbO,original,federated\blurbs,broker,hybrid,semantic,True,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.959375,0.434,0.55,0.525,0.438,0.225,0.6595440000000001,720,0.284375,2.21,2.21,0.87,320,0.0,0.0,,0.725,0.85625,0.56875,0.0784226375,17.20625,0.959375
final_mr0_broker_semantic_hints_blurbS,schema,federated\blurbs_schema_eval11,broker,hybrid,semantic,True,True,few_shot,claude-haiku-4-5-20251001,gpt-5.2,0.07,320,0.971875,0.463,0.613,0.512,0.463,0.263,0.6532965000000001,748,0.26875,2.21,2.21,0.87,320,0.0,0.0,,0.68125,0.88125,0.496875,0.075149678125,17.1875,0.971875
